id,name,sinhala name,author,author sinhala name,translator,translator sinhala name,language,categoery,Tags
806,Bihisunu Wana Meda,බිහිසුණු වන මැද,Lsitha Ravin Umagiliya,නොදනී,,ලසිත රවීන් උමගිලිය,Sinhala,Sinhala Novel,
807,Dahathuna,දහතුන,Steve Cavanagh,ස්ටීව් කැවනා,Nilanthi Ediriweera,නිලන්ති එදිරිවීර,Sinhala,English Translation Novel,
808,Pruthuviyen samuganimu,පෘථිවියෙන් සමුගනිමු,Izak Esimow,අයිසැක් ඇසිමොව්,Bobby G Botheju,බොබී ජී. බොතේජු,Sinhala,Science fiction,
809,Iranamkara Biththara,ඉරණම්කාර බිත්තර,Michail Bulgakow,මිහායිල් බුල්ගාකොව්,Pasan kodikara,පසන් කොඩිකාර,Sinhala,Science Fiction,
810,Agadhayata Ihalin,අගාධයට ඉහළින්,A. Belayew / A.Kasanthsew,ඇලෙක්සැන්ඩර් බෙල්යායෙව්,J.E Gunasekara,ජේ.ඊ. ගුණසේකර,Sinhala,Science Fiction,
811,Mithuro,මිතුරෝ,Denagama Siriwardana,දෙනගම සිරිවර්ධන,,නොදනී,Sinhala,children Sinhala,
812,Wiiduhale Withthi,විදුහලේ විත්ති,Father Don Peter,දොන් පීටර් පියතුමා,,නොදනී,Sinhala,Children Sinhala,
813,Ran Welle Ascharya,රන් වැල්ලේ ආශ්චර්යය,Anura Padmasiri Disanayaka,අනුර පද්මසිරි දිසානායක,,නොදනී,Sinhala,Children Sinhala,
814,Handuruk Kande Wickramaya,හඳුරුක් කන්දේ වික්‍රමය,Anura Padmasiri Disanayaka,අනුර පද්මසිරි දිසානායක,,නොදනී,Sinhala,Children Sinhala,
815,Nawathene Himi Kariya,නවාතැනේ හිමිකාරිය,Fyedor Dosthayewsky,ෆියෝඩර් දොස්තයෙව්ස්කි,Pasan Kodikara,පසන් කොඩිකාර,Sinhala,Russian Translation Novel,
816,Remgunkara Kawataya,රැවටුම්කාර කවටයා,Mikhail Bulgakov,මිහායිල් බුල්ගාකොව්,Pasan Kodikara,පසන් කොඩිකාර,Sinhala,Russian Translation Novel,
817,Kavikara kombi,කවිකාර කොම්බි,Kattambuagama Wijayapala Kumarasinghe,කට්ටඹුවාගම විජයපාල කුමාරසිංහ,,නොදනී,Sinhala,Sinhala Novel,
818,Gini,ගිනි,Erewwala Nandimithra,ඇරැව්වල නන්දිමිත්‍ර,,නොදනී,Sinhala,Sinhala novel,
819,Gambare,ගම්බරේ,Aruna Laksman Fernando,අරුණ ලක්ෂ්මන් ප්‍රනාන්දු,,නොදනී,Sinhala,Sinhala Novel,
820,Dupathaka atharamanwa,දූපතක අතරමංව,R.M. Ballantyne's,ආර්.එම්. බැලන්ටයින්,Lasitha Ravin Umagiliya,ලසිත රවීන් උමගිලිය,Sinhala,children Translation,
821,Mahacharya Shonkuge Wickrama,මහාචාර්ය ෂොන්කුගේ වික්‍රම,Sathyajith Ray,සත්‍යජිත් රායි,Chandralatha Lakdusinghe,චන්ද්‍රලතා ලක්දුසිංහ,Sinhala,Indian Translation,
822,Nisala Uyana,නිසල උයන,Ba Jin,බා ජින්,Mahinda Senarath Gamage,මහින්ද සෙනරත් ගමගේ,Sinhala,Chinese Translation,
