"201","Wurkayan Athara Nagnawa","Bruno Apitz","Cyril C Perera","Sinhala","English Translation Novel"
"202","Pem Wiyaruwa","Emily Bronte","R.P.Wijesinghe","Sinhala","English Translation Novel"
"203","Devid Copperfield","Charles Dickens","M.M.Piawardhana","Sinhala","English Translation Novel"
"204","Bedi Wenwu Awadiya","Anton Donchev","Kumara Perera","Sinhala","English Translation Novel"
"205","Awasana Rathriya","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"206","Paligenime Meheyuma","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"207","Naga Meheyuma","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"208","Moscow Peraliya","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"209","Sirakaruwa saha Ottukaruwa","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"210","Maha sayura Ginigani","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"211","Yuda Ballo","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"212","Bhutha yanaya","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"213","Satharawana Waganthiya","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"214","Dewa Hasthaya","Frederick forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"215","Rewatilikaruwa","Federick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"216","Haskama","Federick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"217","Sengawunu Lowen Gelawunu Sagayo","Mitchell Zuckoff","Premachandra Alwis","Sinhala","English Translation Novel"
"218","Kebali","Binjamin Wilkomirski","Ravindra Vijewardana","Sinhala","English Translation Novel"
"219","Pompei Nuwara duk geethaya","Edward Lightin","Prabath MIrihagalla","Sinhala","English Translation Novel"
"220","Kanyawa ha Ahiguntikaya","D.H. Lawrence","Sudath Rohan","Sinhala","English Translation Novel"
"221","Adarabara Aryawa","D.H. Lawrence","Wimaladasa Samarasinghe","Sinhala","English Translation Novel"
"222","Sulthana","Jeen p sesson","Saman Pushpa Gunasekara","Sinhala","English Translation Novel"
"223","Thelma","Marrie Correlie","Ayodhya Karunarathna","Sinhala","English Translation Novel"
"224","Kwai Gange Palama","Pierre Bouille","Abaya Hewawasam","Sinhala","English Translation Novel"
"225","Vietnam Uman Satana","Tom mangold","Sujiwa Disanayaka","Sinhala","English Translation Novel"
"226","Kanden negunu Gindara","Omar Cabezas","Sitijaja madya Sansadaya","Sinhala","English Translation Novel"
"227","Mama Yuda Charapurusayek wuyemi","Perter Dourlein","Domonoc Mendis","Sinhala","English Translation Novel"
"228","Porakaye Satahan","Julius Fuchik","Sitijaja madya Sansadaya","Sinhala","English Translation Novel"
"229","Gangawo Ma winiwida geluha","Ernesto Che Guevara","Daya Pathirana","Sinhala","English Translation Novel"
"230","Che",,"Malani Govinnage","Sinhala","English Translation Novel"
"231","Hitlarge Sirakaruwek","Stephan Lorent","Senani Darmarathna","Sinhala","English Translation Novel"
"232","Maranaye Doratuwa","Miklos Nyiszli","Ranjith Kuruppu","Sinhala","English Translation Novel"
"233","Gini Kurulla","Wilber Smith","Susantha Kodithuwakku","Sinhala","English Translation Novel"
"234","Abhirahas Udyanaya","Frances Hodgson Burneit","Manel Jayanthi Gunasekara","Sinhala","English Translation Novel"
"235","Boattu sawariya","Jerome K Jerome","Chandra Anagirathne","Sinhala","English Translation Novel"
"236","Martin Pig","Kevin Brooks","Ganga Niroshani Suduwelikanda","Sinhala","English Translation Novel"
"237","Smith","Leon Garfield","Chitra I perera","Sinhala","English Translation Novel"
"238","Sudu Hendagath Kanthawa 1","Wilkie Collins","Chandra Anagirathne","Sinhala","English Translation Novel"
"239","Sudu Hendagath Kanthawa 2","Wilkie Collins","Chandra Anagirathne","Sinhala","English Translation Novel"
"240","Hima Bima","Willard Price","Wijayarathna Dolawatta","Sinhala","English Translation Novel"
"241","Samuduru gembare Geethaya","Witi Ihimaera","Swarnakanthi Rajapaksha","Sinhala","English Translation Novel"
"242","Captains Courageous","Rudyard Kipling","J.C.Saluwadana","Sinhala","English Translation Novel"
"243","Samudura meda ATharaman wuuwo","Jules verne","Dhanapala Gunasekara","Sinhala","English Translation Novel"
"244","Thalmasaku ha Mithuruwa","Pierre Bouille","Dhanapala Gunasekara","Sinhala","English Translation Novel"
"245","Dakunu Muhuda haraha","Herman Melville","Chinthika Prabasini Gunasekara","Sinhala","English Translation Novel"
"246","Hima Kathara","Jules verne","Dhanapala Gunasekara","Sinhala","English Translation Novel"
"247","Antatika Tharanaya","Alfred Lansing","Dhanapala Gunasekara","Sinhala","English Translation Novel"
"248","Shacklton ge Antatik charikawa","Alfred Lansing","Rani Senarathna Rajapaksha","Sinhala","English Translation Novel"
"249","Muhudu Wurkaya","Jack london","Dhanapala Gunasekara","Sinhala","English Translation Novel"
"250","Wanapetha Andagasai","Jack london","Ariyawansha Ranaweera","Sinhala","English Translation Novel"
"251","Wurkayange Adaviya","Jack london","Ganga Niroshani Suduwelikanda","Sinhala","English Translation Novel"
"252","Wulfan","WittlyStraiber","Upali Kannangara","Sinhala","English Translation Novel"
"253","Holman Hotalaya","Wilkie Collins","Arthur Fernando","Sinhala","English Translation Novel"
"254","Situwara Drakula","Bram Stoker","Channa Bandara Wijekoon","Sinhala","English Translation Novel"
"255","Kandukaraya Donkara duni","khaled Hosseini","Ganga Niroshini Suduwelikanda","Sinhala","English Translation Novel"
"256","Psycho","Robert bloch","Senarathne weerasinghe","Sinhala","English Translation Novel"
"257","Divya Bojanaya","H.G.Wells","J.C.Saluwadana","Sinhala","Science Fiction"
"258","Kala Yanaya","H.G.Wells","David Alponsu","Sinhala","Science Fiction"
"259","Athithayen aa Daruwa","Izack Asimov","Dammika Senevirathna","Sinhala","Science Fiction"
"260","Samuduru Pathle Sawariyak","Jules verne","Dhanapala Gunasekara","Sinhala","Science Fiction"
"261","Dolpin Doopatha","Arthur C Clarke","J.C.Saluwadana","Sinhala","Science Fiction"
"262","Kethee",,"Vijitha Rajapaksha","Sinhala","Science Fiction"
"263","Angaharu Lokaye  Kumarikawak","Edgar Rice Burroughs","Prabath MIrihagalla","Sinhala","Science Fiction"
"264","Pitasakwala Demuhumkaranaya","Asanka Fernando",,"Sinhala","Science Fiction"
"265","Kola Pellama","Kapila Weerasinghe",,"Sinhala","Science Fiction"
"266","Aaweshaya","Manoj Dharmarathna",,"Sinhala","Science Fiction"
"267","Mathuyam Dawasaka","Izack Asimov","S.W.Paranavithana","Sinhala","Science Fiction"
"268","Jurasika Uyane Sathi Atak","Scott Sinsean","Sudath Rohan","Sinhala","Science Fiction"
"269","Jurasika uyana","Michael Crichton","Gamini Kumara Vithana","Sinhala","Science Fiction"
"270","Polowa Meda Lokaya","Edgar Rice Burroughs","Prabath MIrihagalla","Sinhala","Science Fiction"
